name,slug,description,icon,category_slug,price,price_type,price_min,price_max,duration,delivery_days,max_clients,is_featured,popularity,order,benefits,faq,prerequisites,deliverables,seo_title,seo_description,is_active
"Apiary Site Selection & Feasibility",apiary-site-selection,"Professional site assessment for apiary establishment including bee forage availability, water sources, wind protection, accessibility, and environmental conditions evaluation.",:search:,apiary-establishment,,quote,,,,0,7,10,TRUE,90,1,"[""Optimal site selection reducing colony losses by 40%"",""Professional feasibility assessment"",""Higher honey yields through strategic placement""]","[{""question"":""What makes a good apiary site?"",""answer"":""Adequate bee forage within 3km radius, clean water source nearby, natural wind protection, good accessibility, and away from pesticide use areas.""}]","[""Land availability"",""Basic farm access""]","[""Site assessment report"",""Apiary layout plan"",""Forage availability map"",""Risk assessment document""]","Apiary Site Selection & Feasibility | FeeVert Tanzania","Professional apiary site selection and feasibility assessment for commercial beekeeping in Tanzania.",TRUE
"Beehive Design & Installation",beehive-design,"Design and installation of modern beehives including Langstroth and Top-bar hives. Complete apiary layout planning with optimal hive placement for maximum productivity.",:home:,apiary-establishment,,quote,,,,0,14,15,TRUE,88,2,"[""Professional hive installation"",""Modern beehive technology"",""Optimal colony placement""]","[{""question"":""Which hive type is best for commercial production?"",""answer"":""Langstroth hives are recommended for commercial production due to higher yields, easier management, and scalability.""}]","[""Site assessment completed"",""Land preparation""]","[""Installed beehives"",""Apiary layout map"",""Management schedule"",""Equipment inventory""]","Beehive Design & Installation | FeeVert Tanzania","Professional beehive design and installation services in Tanzania.",TRUE
"Colony Management & Routine Inspection",colony-management,"Routine hive inspection services including colony health assessment, pest and disease monitoring, swarm control, and seasonal management planning.",:clipboard:,apiary-establishment,,quote,,,,120,7,20,FALSE,82,3,"[""Early detection of diseases and pests"",""Optimal colony strength"",""Reduced colony losses""]","[{""question"":""How often should hives be inspected?"",""answer"":""Every 7-14 days during active season, monthly during low season.""}]","[""Established apiary"",""Protective gear""]","[""Inspection report"",""Colony health assessment"",""Management recommendations""]","Colony Management Services | FeeVert Tanzania","Professional bee colony management and routine hive inspection services in Tanzania.",TRUE
"Pest & Disease Control",pest-disease-control,"Integrated pest management for apiaries including varroa mite treatment, hive beetle control, and disease prevention protocols.",:shield:,apiary-establishment,,quote,,,,0,7,15,FALSE,78,4,"[""Reduced colony losses from pests"",""Healthier bee populations"",""Improved honey quality""]","[{""question"":""How do you control varroa mites?"",""answer"":""We use integrated methods including organic acids, essential oils, and cultural practices.""}]","[""Active apiary"",""Observation of pest issues""]","[""Pest assessment report"",""Treatment plan"",""Prevention protocol"",""Follow-up monitoring""]","Bee Pest & Disease Control | FeeVert Tanzania","Professional bee pest and disease control services.",TRUE
"Beehive Supply (Langstroth & Top-Bar)",beehive-supply,"Supply of high-quality Langstroth and Top-bar beehives manufactured to international standards.",:home:,beekeeping-equipment,,range,150000,500000,0,14,50,TRUE,85,1,"[""High-quality certified beehives"",""6-month warranty"",""Nationwide delivery""]","[{""question"":""What's included with each hive?"",""answer"":""Each hive includes frames, foundation sheets, and assembly instructions.""}]","[""Confirmed order"",""Deposit payment""]","[""Assembled beehives"",""Assembly manual"",""Warranty card""]","Beehive Supply Tanzania | FeeVert","Quality Langstroth and Top-bar beehives for sale in Tanzania.",TRUE
"Protective Gear & Beekeeping Tools",protective-gear,"Supply of complete beekeeping protective equipment including bee suits, gloves, smokers, hive tools, and accessories.",:shield:,beekeeping-equipment,,range,50000,500000,0,7,50,FALSE,80,2,"[""Certified safety equipment"",""Bulk discounts available"",""After-sales support""]","[{""question"":""What sizes are available?"",""answer"":""Bee suits come in S, M, L, XL sizes with adjustable fittings.""}]","[""Size specifications"",""Order confirmation""]","[""Protective equipment"",""Usage guide"",""Care instructions""]","Beekeeping Protective Gear Tanzania | FeeVert","Quality beekeeping protective gear and tools.",TRUE
"Bee Colonies & Queen Bees Supply",bee-colonies,"Supply of healthy nucleus colonies and mated queen bees for stocking new hives or replacing old queens.",🐝,beekeeping-equipment,,range,200000,1000000,0,14,30,TRUE,88,3,"[""Disease-free colonies"",""Locally adapted genetics"",""High productivity queens""]","[{""question"":""How many frames per nucleus colony?"",""answer"":""Standard 5-frame nucleus colonies with laying queen, brood, and food stores.""}]","[""Ready beehives"",""Suitable apiary site""]","[""Nucleus colonies"",""Queen health certificate"",""Acclimatization guide""]","Bee Colonies & Queen Bees Supply | FeeVert Tanzania","Quality bee colonies and mated queen bees for sale in Tanzania.",TRUE
"Honey Harvesting Equipment",honey-equipment,"Supply of professional honey harvesting and processing equipment including extractors, uncapping trays, settling tanks, filters, and packaging materials.",:tools:,beekeeping-equipment,,range,300000,5000000,0,14,30,FALSE,76,4,"[""Professional grade equipment"",""Installation support"",""Training included""]","[{""question"":""What size extractor do I need?"",""answer"":""Depends on number of hives. We recommend 4-frame extractors for up to 50 hives.""}]","[""Number of hives"",""Processing space dimensions""]","[""Harvesting equipment"",""Installation guide"",""Training session""]","Honey Harvesting Equipment Tanzania | FeeVert","Professional honey harvesting and processing equipment supply in Tanzania.",TRUE
"Honey Harvesting & Extraction",honey-harvesting,"Professional honey harvesting services using modern centrifugal extractors. Includes proper timing, bee handling techniques, and post-harvest hive management.",:honey:,honey-processing,,quote,,,,120,7,20,TRUE,88,1,"[""Maximum honey yield"",""Professional extraction"",""Minimal colony disruption""]","[{""question"":""When is the best time to harvest?"",""answer"":""Harvest during peak nectar flow, typically 2-3 times per year in Tanzania depending on location.""}]","[""Mature bee colonies"",""Harvesting equipment or rental""]","[""Harvested honey"",""Yield report"",""Post-harvest management plan""]","Honey Harvesting & Extraction | FeeVert Tanzania","Professional honey harvesting and extraction services in Tanzania.",TRUE
"Honey Processing & Filtration",honey-processing-filtration,"Complete honey processing setup including multi-stage filtration, moisture content control, settling, and quality testing. Meet TBS standards for local and export markets.",:tools:,honey-processing,,quote,,,,0,14,10,TRUE,85,2,"[""TBS-compliant processing"",""Extended shelf life"",""Export-ready quality""]","[{""question"":""What TBS standards apply?"",""answer"":""TBS 851:2018 for honey specification and TBS 1647:2019 for honey processing requirements.""}]","[""Raw harvested honey"",""Processing space""]","[""Processing setup"",""Quality control manual"",""TBS compliance guide""]","Honey Processing & Filtration | FeeVert Tanzania","Professional honey processing and filtration services.",TRUE
